idnodo|longitud|latitud|geom
1180|-77.0235368|-12.1306151|SRID=4326;POINT(-77.0235368 -12.1306151)
1037|-77.0301498|-12.1116159|SRID=4326;POINT(-77.0301498 -12.1116159)
726|-77.0201336|-12.1250304|SRID=4326;POINT(-77.0201336 -12.1250304)
727|-77.020912|-12.1248126|SRID=4326;POINT(-77.020912 -12.1248126)
724|-77.0211374|-12.1248294|SRID=4326;POINT(-77.0211374 -12.1248294)
390|-77.0336144|-12.1090703|SRID=4326;POINT(-77.0336144 -12.1090703)
722|-77.0181995|-12.1214931|SRID=4326;POINT(-77.0181995 -12.1214931)
723|-77.0195924|-12.1227735|SRID=4326;POINT(-77.0195924 -12.1227735)
720|-77.0191351|-12.1195083|SRID=4326;POINT(-77.0191351 -12.1195083)
721|-77.0204311|-12.1195936|SRID=4326;POINT(-77.0204311 -12.1195936)
1160|-77.0357761|-12.1235724|SRID=4326;POINT(-77.0357761 -12.1235724)
1035|-77.0289044|-12.11258|SRID=4326;POINT(-77.0289044 -12.11258)
1167|-77.0527377|-12.1090576|SRID=4326;POINT(-77.0527377 -12.1090576)
728|-77.020892|-12.1246482|SRID=4326;POINT(-77.020892 -12.1246482)
729|-77.0202108|-12.1276502|SRID=4326;POINT(-77.0202108 -12.1276502)
151|-77.0230257|-12.1215651|SRID=4326;POINT(-77.0230257 -12.1215651)
150|-77.0222205|-12.1213437|SRID=4326;POINT(-77.0222205 -12.1213437)
153|-77.0247507|-12.1219486|SRID=4326;POINT(-77.0247507 -12.1219486)
152|-77.0238942|-12.12178|SRID=4326;POINT(-77.0238942 -12.12178)
155|-77.0238358|-12.1219227|SRID=4326;POINT(-77.0238358 -12.1219227)
154|-77.0247066|-12.1220958|SRID=4326;POINT(-77.0247066 -12.1220958)
157|-77.0221776|-12.1215031|SRID=4326;POINT(-77.0221776 -12.1215031)
156|-77.0229672|-12.1217045|SRID=4326;POINT(-77.0229672 -12.1217045)
159|-77.0390929|-12.109802|SRID=4326;POINT(-77.0390929 -12.109802)
158|-77.0390542|-12.1097648|SRID=4326;POINT(-77.0390542 -12.1097648)
1207|-77.031538|-12.1035643|SRID=4326;POINT(-77.031538 -12.1035643)
1206|-77.0180984|-12.126214|SRID=4326;POINT(-77.0180984 -12.126214)
609|-77.041948|-12.1139122|SRID=4326;POINT(-77.041948 -12.1139122)
608|-77.0506296|-12.1109529|SRID=4326;POINT(-77.0506296 -12.1109529)
1203|-77.0051717|-12.1283463|SRID=4326;POINT(-77.0051717 -12.1283463)
1202|-77.0066191|-12.12811|SRID=4326;POINT(-77.0066191 -12.12811)
1204|-77.0129501|-12.1270107|SRID=4326;POINT(-77.0129501 -12.1270107)
1211|-77.0231147|-12.1351353|SRID=4326;POINT(-77.0231147 -12.1351353)
976|-77.0108753|-12.1227178|SRID=4326;POINT(-77.0108753 -12.1227178)
1161|-77.0318355|-12.1051528|SRID=4326;POINT(-77.0318355 -12.1051528)
634|-77.0267142|-12.1199151|SRID=4326;POINT(-77.0267142 -12.1199151)
399|-77.0330779|-12.1058778|SRID=4326;POINT(-77.0330779 -12.1058778)
635|-77.0289467|-12.1198522|SRID=4326;POINT(-77.0289467 -12.1198522)
749|-77.0130523|-12.123245|SRID=4326;POINT(-77.0130523 -12.123245)
958|-77.0079348|-12.1234193|SRID=4326;POINT(-77.0079348 -12.1234193)
398|-77.0307463|-12.1087999|SRID=4326;POINT(-77.0307463 -12.1087999)
1214|-77.0309262|-12.1077347|SRID=4326;POINT(-77.0309262 -12.1077347)
48|-77.0316671|-12.1241355|SRID=4326;POINT(-77.0316671 -12.1241355)
49|-77.0307532|-12.1243167|SRID=4326;POINT(-77.0307532 -12.1243167)
46|-77.0441826|-12.1185167|SRID=4326;POINT(-77.0441826 -12.1185167)
47|-77.044074|-12.118636|SRID=4326;POINT(-77.044074 -12.118636)
44|-77.0452884|-12.1183942|SRID=4326;POINT(-77.0452884 -12.1183942)
45|-77.0447759|-12.1184636|SRID=4326;POINT(-77.0447759 -12.1184636)
42|-77.046186|-12.1170956|SRID=4326;POINT(-77.046186 -12.1170956)
43|-77.0457104|-12.1174761|SRID=4326;POINT(-77.0457104 -12.1174761)
40|-77.0473904|-12.1162998|SRID=4326;POINT(-77.0473904 -12.1162998)
41|-77.0466939|-12.1170295|SRID=4326;POINT(-77.0466939 -12.1170295)
1111|-77.0138216|-12.1269908|SRID=4326;POINT(-77.0138216 -12.1269908)
638|-77.0289706|-12.1203741|SRID=4326;POINT(-77.0289706 -12.1203741)
1113|-77.013076|-12.130432|SRID=4326;POINT(-77.013076 -12.130432)
1112|-77.0328877|-12.1301621|SRID=4326;POINT(-77.0328877 -12.1301621)
5|-77.0298811|-12.131491|SRID=4326;POINT(-77.0298811 -12.131491)
1114|-77.0138151|-12.1280677|SRID=4326;POINT(-77.0138151 -12.1280677)
1117|-77.0255704|-12.1226092|SRID=4326;POINT(-77.0255704 -12.1226092)
639|-77.0290937|-12.1223864|SRID=4326;POINT(-77.0290937 -12.1223864)
1119|-77.0454788|-12.1116574|SRID=4326;POINT(-77.0454788 -12.1116574)
1118|-77.045738|-12.11192|SRID=4326;POINT(-77.045738 -12.11192)
1173|-77.0250017|-12.1348671|SRID=4326;POINT(-77.0250017 -12.1348671)
1188|-77.0236961|-12.1355566|SRID=4326;POINT(-77.0236961 -12.1355566)
1219|-77.023891|-12.1291382|SRID=4326;POINT(-77.023891 -12.1291382)
1185|-77.0506896|-12.1109899|SRID=4326;POINT(-77.0506896 -12.1109899)
1163|-77.054129|-12.1112862|SRID=4326;POINT(-77.054129 -12.1112862)
489|-77.0263317|-12.1146533|SRID=4326;POINT(-77.0263317 -12.1146533)
488|-77.0287403|-12.1136383|SRID=4326;POINT(-77.0287403 -12.1136383)
487|-77.0276913|-12.1135596|SRID=4326;POINT(-77.0276913 -12.1135596)
486|-77.0263282|-12.1134527|SRID=4326;POINT(-77.0263282 -12.1134527)
485|-77.0222751|-12.1197191|SRID=4326;POINT(-77.0222751 -12.1197191)
484|-77.026691|-12.1190637|SRID=4326;POINT(-77.026691 -12.1190637)
483|-77.0261131|-12.1190679|SRID=4326;POINT(-77.0261131 -12.1190679)
482|-77.0260794|-12.1191982|SRID=4326;POINT(-77.0260794 -12.1191982)
481|-77.0255676|-12.1191879|SRID=4326;POINT(-77.0255676 -12.1191879)
480|-77.0249047|-12.121326|SRID=4326;POINT(-77.0249047 -12.121326)
955|-77.0074837|-12.1223622|SRID=4326;POINT(-77.0074837 -12.1223622)
1201|-77.0088905|-12.1277623|SRID=4326;POINT(-77.0088905 -12.1277623)
472|-77.0159706|-12.1206016|SRID=4326;POINT(-77.0159706 -12.1206016)
473|-77.0159791|-12.1204505|SRID=4326;POINT(-77.0159791 -12.1204505)
470|-77.0276834|-12.1039653|SRID=4326;POINT(-77.0276834 -12.1039653)
471|-77.0274692|-12.1059931|SRID=4326;POINT(-77.0274692 -12.1059931)
476|-77.0247549|-12.1236935|SRID=4326;POINT(-77.0247549 -12.1236935)
477|-77.0248297|-12.1236849|SRID=4326;POINT(-77.0248297 -12.1236849)
474|-77.0263331|-12.113963|SRID=4326;POINT(-77.0263331 -12.113963)
475|-77.0262774|-12.1163333|SRID=4326;POINT(-77.0262774 -12.1163333)
478|-77.0268451|-12.1233387|SRID=4326;POINT(-77.0268451 -12.1233387)
479|-77.0291778|-12.1229387|SRID=4326;POINT(-77.0291778 -12.1229387)
