"ITEM","UBICACIÓN","SARDINEL (ml)","NIVELACION GRASS BLOCK (m2)","GRASS BLOCK (m2)","ADOQUIN VEREDA (m2)","NIVELACION ADOQUIN (m2)","BERMA (m2)","RAMPA (m2)","RAMPA DE INGRESO PEATONAL (m2)","RAMPA VEHICULAR (m2)","CONCRETO DE VEREDA (m2)","CONCRETO EN PISTAS(m2)","ADOQUIN PISTA (m2)","ASFALTO (m2)","EMPEDRADO (ml)","FISURA (ml)","GEOTEXTIL GEOMALLA (m2)","BANCA (Und)","BOLARDO (Und)","TACHO (Und)","MALLA (ml)"
"217","Parque Tradiciones","58.40","","","9.00","38.80","","","","","91.80","","","","","","2.00","","","",""
"218","Parque Villarreal","-","18.00","-","3.00","63.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"219","Parque Y. Rabin","-","-","-","-","-","-","-","-","-","0.60","-","-","-","-","-","-","-","-","-","37.70"
"220","Pasaje Los Pinos","13.50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"221","Pasaje Olaya","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"222","Pasaje Payán","-","-","-","-","-","-","-","-","-","3.15","98.10","-","-","-","-","-","-","-","-","-"
"223","Pasaje Porta","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"224","Pasaje San Antonio","3.00","-","-","-","-","-","-","-","0.90","64.00","-","-","-","-","-","-","-","-","-","-"
"225","Pasaje Sucre","-","-","-","-","-","141.10","-","-","-","17.00","-","-","-","14.00","-","-","-","-","-","-"
"226","Pasaje Tello","","","","","","","","","","0.20","","","","","","1.00","","","",""
"227","Playa Los Delfines","12.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20.00"
"228","Puente Armendáriz","-","-","-","-","-","-","-","-","-","-","-","-","34.78","-","-","-","-","-","-","-"
"229","Puente peatonal de Diez Canseco","-","-","-","-","-","-","-","-","-","15.00","-","-","-","-","-","-","-","-","-","-"
"230","Puente vehicular Diez Canseco","-","-","-","-","-","-","-","-","-","10.50","-","-","-","-","-","-","-","-","-","-"
"231","Puente Villena","-","-","-","-","-","-","-","-","-","-","-","-","0.79","-","-","-","-","-","-","-"
"232","Sala Miro Quezada","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"233","Skate Park","","","","","","","","","","4.90","","","","","","","","","",""
"234","Subida San Martín","-","-","-","-","-","-","-","-","-","-","-","-","2.01","-","-","-","-","-","-","-"
